도서명	저자	출판사	출판일	가격
베테랑 AI 전문가가 만든 가장 쉬운 제미나이 활용! Gemini(제미나이)로 무엇이든 만들 수 있다 (AI 비서 영상 만들기 · 유튜브 숏폼)	송상미, 윤소영, 강은정	광문각출판미디어	2026년 05월	19,000
승인율 99.9% 움직이는 이모티콘 만들기 with 프로크리에이트	씨엠제이(최민정)	한빛미디어	2026년 05월	16,200
모두의 노션 AI	임대균, 오가연	생능북스	2026년 04월	15,120
AI 시대 서·논술형 평가 설계 바이블	조현준, 이근숙, 권좌실, 이슬기, 엄주연, 정보 더 보기/감추기, 조현준, 이근숙, 권좌실, 이슬기, 엄주연, 오덕수	에듀니티교육연구소(에듀니티)	2026년 03월	19,800
AI 에이전트 엔지니어링	마이클 알바다, 강민혁	한빛미디어	2026년 01월	28,800
이게 되네? AI 쇼츠 만들기 미친 자동화 22제	천은영	골든래빗	2026년 01월	23,400
대체불가 AI 영상 제작 완전정복	이용태	책바세	2025년 12월	26,100
AI 엔지니어링	칩 후옌, 변성윤	한빛미디어	2025년 09월	36,000
업무와 일상을 정리하는 새로운 방법 노션	전시진	제이펍	2025년 06월	21,600
핸즈온 LLM	제이 알아마르, 마르턴 흐루턴도르스트, 박해선	한빛미디어	2025년 06월	34,200
질문으로 답을 찾는 인공지능 윤리 수업	박형빈	한언	2025년 04월	18,900
마법 같은 영상 제작을 위한 스마트폰 촬영 및 편집 with 캡컷	김지희	시프트	2025년 03월	20,700
바로바로 챗GPT X 덕테이프 X 코덱스	박현규	골든래빗	2026년 06월	21,600
하루 2시간 경력단절 엄마의 블로그로 시작하는 온라인 브랜딩	그릿지선(이지선)	호호북앤드림	2026년 07월	17,820
색보정을 시작하는 초보 컬러리스트 유튜버를 위한 다빈치리졸브 색보정	전수연	디지털북스	2026년 07월	19,800
ComfyUI 독학노트	김한호, 김홍일, 권구영, 윤택한, 최태온, 정보 더 보기/감추기, 김한호, 김홍일, 권구영, 윤택한, 최태온, 김나래, 안현준	성안당	2026년 07월	34,200
요즘 바이브 코딩 수익화 앱 만들기 with 커서 AI 마켓 등록·인앱 결제·구독 상품	시몬	골든래빗	2026년 07월	30,600
이게 되네? 클로드 MCP 커넥터 미친 활용법 31제	박현규, 김성경	골든래빗	2026년 06월	21,600
알고 나면 무조건 써먹는 실무 엑셀	정훈희	한빛미디어	2026년 05월	20,700
퇴근이 빨라지는 제미나이 & 노트북LM 업무 자동화 정석 엑셀 X AI	권현욱	디지털북스	2026년 04월	19,800
자연은 왜 이토록 단순하면서도 아름다운가	로버트 칸, 크리스 퀴그, 박병철	알에이치코리아(RHK)	2026년 04월	31,500
맛있는 디자인 프리미어 프로&애프터 이펙트 CC 2026	심수진, 윤성우, 이수정	한빛미디어	2026년 03월	24,300
AI 자율학습 클로드 코드·코덱스 CLI·제미나이 CLI 완전 활용법	Dave Lee	길벗	2026년 02월	28,800
서논술형 평가, AI로 깊이를 더하다	지미정, 장희영, 권의선, 이진원, 김수경, 정보 더 보기/감추기, 지미정, 장희영, 권의선, 이진원, 김수경, 박범진	앤써북	2025년 12월	22,950
처음이지만 프로처럼 쓰는 노션 Notion	박한용	디지털북스	2025년 09월	22,500
회사에서 바로 통하는 실무 엑셀 파워포인트 워드&한글	전미진, 이화진, 신면철	한빛미디어	2025년 08월	24,300
한 권으로 끝내는 아두이노 입문+실전 (종합편)	서민우, 코코랩스	앤써북	2025년 03월	19,800
이게 되네? 챗GPT 미친 활용법 71제	오힘찬	골든래빗	2025년 01월	21,600
혼자 공부하는 네트워크	강민철	한빛미디어	2024년 04월	25,200
F1 레이스카의 공기역학	윤재수, 김효원	골든래빗	2023년 11월	45,000
후니의 쉽게 쓴 시스코 네트워킹	진강훈	성안당	2024년 08월	38,700
혼자 공부하는 SQL	우재남	한빛미디어	2021년 11월	21,600
주인의 눈	맛떼오 파스퀴넬리, 이광석, 김상민	동녘	2026년 06월	27,000
AI 자율학습 AI 에이전트 개발 입문	박경민	길벗	2026년 07월	28,800
AI 에이전트 실행 세계 2 : 설계편	조쉬	로드북	2026년 06월	31,500
혼자 해도 프로 선생님처럼 잘 설계하는 AI 자동화 교실	박창민, 이승우, 이슬민, 김동환, 김민, 정보 더 보기/감추기, 박창민, 이승우, 이슬민, 김동환, 김민, 김태현, 이운희, 이현석	한빛미디어	2026년 07월	20,700
만들면서 배우는 AI 에이전트 개발 입문+실전	박나연(공원나연)	한빛미디어	2026년 05월	33,300
요즘 바이브 코딩 커서 X 클로드 코드 실전 외주 돈 벌기	불혹코딩	골든래빗	2026년 05월	23,400
AI 국부론	이승현	골든래빗	2026년 03월	25,200
무조건 도움되는 유아교사 업무경감	김나영, 남동윤, 이영은, 장효정, 최지이, 정보 더 보기/감추기, 김나영, 남동윤, 이영은, 장효정, 최지이, 황경미	교육과실천	2026년 01월	22,950
AI 로봇 구조 교과서	유승남	보누스	2026년 01월	20,700
나는 오렌지3로 인공지능한다	장병철, 서미란, 박지훈, 정종호	씨마스	2025년 12월	20,700
밑바닥부터 만들면서 배우는 LLM	세바스찬 라시카, 박해선	길벗	2025년 09월	36,000
바로 배워서 바로 써먹는 바이브 코딩	박찬, 김병석, 전수연, 김지용, 구현희, 정보 더 보기/감추기, 박찬, 김병석, 전수연, 김지용, 구현희, 전채원, 홍찬우, 이상선	다빈치books	2025년 09월	19,800
보고서 기획서 고민 없이 시작해서 30분 만에 끝내주는 프롬프트 책	박경수	한빛비즈	2025년 08월	19,800
디자인 구구단	에이핫	길벗	2024년 08월	18,000
그림으로 이해하는 서버 구조와 기술	요코타 카즈키, 엔도 유키, 김성훈	길벗	2024년 06월	19,800
Do it! C++ 완전 정복	조규남, 문종채	이지스퍼블리싱	2024년 03월	28,800
오토캐드 40시간 완성	신동진	피앤피북	2024년 03월	18,000
모두의 네트워크 기초	서지영	길벗	2024년 01월	21,600
