도서명	저자	출판사	출판일	가격
가상 면접 사례로 배우는 머신러닝 시스템 설계 기초	알리 아미니안, 알렉스 쉬, 최종일	인사이트(insight)	2024년 02월	24,300
수학자와 함께하는 인공지능 수학 with 파이썬	김종락, 원병선	한빛아카데미	2024년 01월	32,000
밑바닥부터 시작하는 딥러닝 4	사이토 고키, 개앞맵시	한빛미디어	2024년 01월	27,000
Do it! 시뮬레이터+키트로 완성하는 아두이노 입문	박필준	이지스퍼블리싱	2024년 01월	22,950
팅커캐드 3D 디자인&코딩	이상범	REXmedia(렉스미디어)	2024년 01월	12,600
결정적 사건으로 배우는 암호학	윤진, 이솔	골든래빗	2024년 01월	18,000
가상 면접 사례로 배우는 대규모 시스템 설계 기초 2	알렉스 쉬, 산 람, 이병준	인사이트(insight)	2024년 01월	32,400
Do it! 데이터 분석을 위한 판다스 입문	다니엘 첸, 시진	이지스퍼블리싱	2023년 11월	22,500
된다! 책 만들기 with 인디자인	김혜린	이지스퍼블리싱	2023년 09월	19,800
문제 해결을 위한 알고리즘 with 수학	요네다 마사타카, 윤인성	위키북스	2023년 09월	37,800
클립 스튜디오 입문 교실	사이도런치, 고영자	영진닷컴	2023년 09월	20,700
자동화 마케팅 무작정 따라하기	신태순, 조수현	길벗	2023년 09월	19,800
네이버 키워드 상위노출 비법	조영빈	디지털북스	2023년 09월	18,000
나는 파이썬으로 머신러닝한다 2	장병철, 이지항, 박지훈, 최정원	씨마스	2023년 09월	20,700
“OECD 교육 2030” & “2022 개정 교육과정” 미래 교육 나침반	지미정	앤써북	2023년 09월	15,930
가장 쉬운 이모티콘 만들기	정수진	정보문화사	2023년 09월	19,800
개발자와의 협업을 위한 IT 필수 지식	최선신	영진닷컴	2023년 08월	15,300
상상을 실현하는 로블록스 게임 만들기	강태훈, 장준하, D.LAB	한빛미디어	2023년 08월	19,800
로블록스 타워맵 만들기	노페어(Nofair)	디지털북스	2023년 08월	20,700
사실은 이것도 디자인입니다	김성연(우디)	한빛미디어	2023년 07월	17,100
모던 로보틱스	케빈 M. 린치, 박종우, 이병호, 윤상웅, 권재운, 정보 더 보기/감추기, 케빈 M. 린치, 박종우, 이병호, 윤상웅, 권재운, 김영훈, 김종민, 임중빈, 손민준, 정진, 이상현, 양우성	에이콘출판사	2023년 05월	45,000
이것이 C#이다	박상현	한빛미디어	2023년 05월	32,400
파이썬 라이브러리를 활용한 데이터 분석	웨스 맥키니, 김영근	한빛미디어	2023년 05월	35,100
마인크래프트 놀라운 발명품 만들기	Mojang Studio	영진닷컴	2023년 04월	14,400
진짜 쓰는 일러스트레이터	서영열	제이펍	2023년 02월	21,600
HTML5 + CSS3 + JavaScript로 배우는 웹프로그래밍 기초	천인국	인피니티북스	2023년 01월	33,000
혼자 공부하는 데이터 분석 with 파이썬	박해선	한빛미디어	2023년 01월	23,400
라즈베리파이 피코, 마이크로파이썬을 만나다	허경용	제이펍	2022년 12월	22,500
트랜스포머를 활용한 자연어 처리	루이스 턴스톨, 레안드로 폰 베라, 토마스 울프, 박해선	한빛미디어	2022년 11월	35,100
한눈에 보이는 블록체인 그림책	한선관, 이정원, 장명현	성안당	2022년 11월	20,700
로블록스 루아 프로그래밍 첫 발자국 떼기	ROBLOX, 진석준	에이콘출판사	2022년 11월	31,500
Do it! 자료구조와 함께 배우는 알고리즘 입문 C 언어 편 (전면 개정판)	시바타 보요, 강민	이지스퍼블리싱	2022년 10월	21,600
Do it! C# 프로그래밍 입문	박필준	이지스퍼블리싱	2022년 10월	18,000
초등학생을 위한 인공지능 지식 76	김영현, 최정을	길벗	2022년 10월	14,400
양자계산과 양자정보	마이클 닐슨, 아이작 추앙, 이승준	에이콘출판사	2022년 10월	62,100
누구나 할 수 있는 유니티 2D 게임 제작	STUDIO SHIN, 윤준	제이펍	2022년 10월	26,100
인공지능과 뇌는 어떻게 생각하는가	이상완	솔	2022년 09월	19,800
현업 기획자 마이즈가 알려주는 게임 기획 스쿨	김현석	초록비책공방	2022년 08월	21,600
이것이 자료구조+알고리즘이다 with C 언어	박상현	한빛미디어	2022년 08월	30,600
디지털 일러스트 무기 아이디어 사전	사이도런치, 김재훈	한스미디어	2022년 07월	16,200
모두의 깃&깃허브	강민철	길벗	2022년 07월	18,000
혼자 해도 프로 작가처럼 잘 그리는 아이패드 드로잉 with 프로크리에이트	박정아	한빛미디어	2022년 06월	19,800
나는 파이썬으로 머신러닝한다 1	최정원, 박지훈	씨마스	2022년 06월	19,800
무조건 돈 버는 카카오 이모티콘 만들기	김나무	중앙북스(books)	2022년 06월	15,750
자동차 인터페이스 디자인	박수레	책만	2022년 05월	15,120
직장인을 위한 실무 구글 스프레드시트	진은영	길벗	2022년 05월	20,700
로블록스 개발 첫 발자국 떼기	ROBLOX, 이진오	에이콘출판사	2022년 05월	31,500
Do it! 점프 투 파이썬 라이브러리 예제 편	박응용	이지스퍼블리싱	2022년 05월	23,400
실무자를 위한 그래프 데이터 활용법	데니즈 고즈넬, 마티아스 브뢰헬러, 우정은	한빛미디어	2022년 05월	33,300
Do it! 쉽게 배우는 파이썬 데이터 분석	김영우	이지스퍼블리싱	2022년 05월	20,700
알기 쉬운 조명 교과서	김대욱	에이콘출판사	2022년 03월	19,000
솔리드웍스 50시간 완성 (모델링편)	신동진	피앤피북	2022년 03월	18,000
헤드 퍼스트 디자인 패턴	에릭 프리먼, 엘리자베스 롭슨, 서환수	한빛미디어	2022년 03월	32,400
아티스트를 위한 유니티 URP 셰이더 입문	이상원	비엘북스	2022년 02월	30,600
스타트 파이썬	황재호	인포앤북	2022년 02월	18,900
이득우의 게임 수학	이득우	책만	2022년 02월	40,500
하나씩 천천히, 디지털 드로잉	서은숙	혜지원	2022년 02월	15,300
나도 한다! 아이패드로 시작하는 만화 그리기 with 클립스튜디오	아오키 도시나오, 일본콘텐츠전문번역팀	므큐	2022년 01월	16,200
혼자 공부하는 R 데이터 분석	강전희, 엄동란	한빛미디어	2022년 01월	19,800
컴퓨팅 사고력을 키우는 이산수학	박주미	한빛아카데미	2021년 12월	29,000
CDT 코딩창의개발능력 3급 엔트리	해람북스 기획팀	해람북스	2022년 01월	14,400
된다! 깨비의 DSLR & 미러리스 사진 수업	박기덕	이지스퍼블리싱	2022년 01월	16,200
당당한 디자인 결정을 위한 9가지 방법	톰 그리버, 김민성, 곽서희	한빛미디어	2021년 12월	19,800
픽셀아트 배경 그리는 법	APO+, MOTOCROSS SAITO, SETAMO, 이석호	AK(에이케이 커뮤니케이션즈)	2021년 11월	25,200
따라하며 배우는! 퓨전 Fusion 360 입문	김혜숙, 주형권, 김보영	한국ATC센터	2021년 11월	24,300
인벤터 50시간 완성 (조립·도면편)	신동진	피앤피북	2022년 01월	18,000
Do it! 인터랙티브 웹 페이지 만들기	최성일	이지스퍼블리싱	2021년 08월	25,200
모두의 마이크로비트	아이씨뱅큐, 에스엔소프트	길벗	2021년 04월	19,800
아두이노 자율주행 RC카 만들고 직접 코딩하기 [완전 개정판]	서민우, 박준원	앤써북	2020년 12월	18,000
밑바닥부터 시작하는 딥러닝 3	사이토 고키, 개앞맵시	한빛미디어	2020년 11월	34,200
실무에 바로 쓰는 일잘러의 보고서 작성법	김마라	제이펍	2020년 11월	16,200
양자 컴퓨터 원리와 수학적 기초	크리스 베른하트, 이정문	에이콘출판사	2020년 08월	22,500
딥러닝을 위한 선형대수학	길버트 스트랭, 부산대학교 산업수학센터(FFMIMC)	한빛아카데미	2020년 08월	34,200
Do it! 자료구조와 함께 배우는 알고리즘 입문 : 파이썬 편	시바타 보요, 강민	이지스퍼블리싱	2020년 07월	19,800
SQL 전문가 가이드	한국데이터산업진흥원	한국데이터산업진흥원	2021년 03월	50,000
디지털 리터러시 교실	박일준, 김묘은	북스토리	2020년 04월	18,000
세럼 사운드 디자인 비법	김경윤, 오석빈	위키북스	2020년 04월	25,200
단단한 강화학습	리처드 서튼, 앤드류 바르토, 김성우	제이펍	2020년 03월	31,500
엑셀 기초	(주)지아이에듀테크	아이콕스(iCox)	2020년 01월	9,900
한권으로 파이썬 데이터 사이언스 입문 AtoZ	문성혁, 문용준	잇플ITPLE	2020년 01월	26,100
임베디드 OS 개발 프로젝트	이만우	인사이트(insight)	2019년 12월	21,600
된다! 파워포인트 실무의 신	김지훈, 김봉정, 박성용	이지스퍼블리싱	2019년 12월	17,550
다시 미분 적분	나가노 히로유키, 장진희	길벗	2019년 07월	16,200
오브젝트	조영호	위키북스	2019년 06월	34,200
서브스턴스 페인터 시작하기	이경민	비엘북스	2019년 05월	31,500
프로그래머, 수학으로 생각하라	유키 히로시, 안동현	프리렉	2018년 07월	18,000
전자공학 만능 레시피	사이먼 몽크, 이하영	인사이트(insight)	2018년 06월	28,800
알고리즘으로 배우는 인공지능, 머신러닝, 딥러닝 입문	김의중	위키북스	2016년 07월	24,300
게임 프로그래밍 패턴	로버트 나이스트롬, 박일	한빛미디어	2016년 06월	31,500
게임 프로그래머로 산다는 것	김성완, 정재원, 이국현, 김상천, 김용준, 최영준	로드북	2016년 03월	14,400
C 언어 프로그래밍	Brian W. Kernighan, Dennis M. Ritchie, 김석환, 박용규, 최홍순	휴먼싸이언스	2016년 02월	25,000
컴퓨터 프로그램의 구조와 해석	해럴드 애빌슨, 제럴드 제이 서스먼, 줄리 서스먼, 김재우, 안윤호, 김수정, 김정민, 이광근	인사이트(insight)	2016년 01월	38,700
Effective C++ 이펙티브 C++	스콧 마이어스, 곽용재	프로텍미디어	2015년 03월	26,000
린 분석	앨리스테어 크롤, 벤저민 요스코비츠, 위선주	한빛미디어	2014년 01월	25,200
패턴 랭귀지	크리스토퍼 알렉산더, 사라 이시가와, 머레이 실버스타인, 이용근, 양시관, 이수빈	인사이트(insight)	2013년 07월	36,000
신나고 재미있는 타자연습장	웰북교재연구회	웰북	2013년 02월	6,300
좋아 보이는 것들의 비밀 Good Design 굿 디자인	최경원	길벗	2012년 03월	19,800
개발자도 알아야할 소프트웨어 테스팅 실무	권원일, 이현주, 최승희, 이승호, 박은영, 조현길	STA(소프트웨어테스팅연구소)	2010년 09월	26,600
데이타베이스 시스템	이석호	정익사	2014년 08월	34,200
AI 이해력	박민경	로드북	2026년 05월	22,500
AI와 화학제품 독성 예측	서명원	커뮤니케이션북스	2026년 07월	12,000
AI 에이전트와 애플리케이션	로베르토 인판테, 이병욱	에이콘출판사	2026년 06월	36,000
누구나 이해하는 클라우드 인프라 지식 사전	바바 도시아키, 김완섭	한빛미디어	2026년 06월	29,700
LUVIT♥ EPL과 유튜브 데이터로 배우는 DuckDB	이기준	제이펍	2026년 06월	27,000
하루 30분, 나는 제미나이로 돈을 번다	김민규	한빛미디어	2026년 03월	17,100
로봇, 그리고 로봇을 사랑하는 사람들	이브 헤롤드, 김창규	현암사	2026년 03월	18,000
코딩으로 피어나는 스마트팜 with 인공지능	표정완, 장원규	딩코랩	2026년 02월	20,900
멘토시리즈 진짜 포토샵+with AI	코리아교육그룹 연구소	코리아교육그룹	2026년 01월	25,200
라즈베리파이로 만드는 인공지능과 사물인터넷	장문철	먼슬리북스	2026년 03월	20,250
ChatGPT와 아두이노로 만드는 AI 음성비서	장문철	먼슬리북스	2026년 01월	17,550
노션 템플릿 상점	Rei, 노슈니	길벗	2025년 07월	19,800
이게 되네? 챗GPT 미친 기획 X 마케팅 59제	이나현, 황성민	골든래빗	2025년 06월	23,400
나는 해외구매대행으로 한 달에 월급을 두 번 받는다	제노	위키북스	2024년 11월	21,600
대치동 엄마들도 모르는 AI 활용법 2	이종구, 이정화, 김찬곤, 한금화, 도윤서, 정보 더 보기/감추기, 이종구, 이정화, 김찬곤, 한금화, 도윤서, 오지성, 조현주, 배은영(밸라쌤), 박찬두	디지털콘텐츠그룹	2026년 07월	24,300
대치동 엄마들도 모르는 AI 활용법 1	박찬두, 배은영(밸라쌤), 조현주, 오지성, 도윤서, 정보 더 보기/감추기, 박찬두, 배은영(밸라쌤), 조현주, 오지성, 도윤서, 한금화, 김찬곤, 이정화, 이종구	디지털콘텐츠그룹	2026년 07월	19,800
나는 AI 에이전트 팀과 일한다	박현아	제이펍	2026년 07월	23,400
AI와 라이프 아크 (큰글자책)	노유진	커뮤니케이션북스	2026년 07월	25,000
AI 창업 퍼실리테이터 (큰글자책)	이명관, 박상혁	커뮤니케이션북스	2026년 07월	25,000
AI 리터러시 수업	배장섭	어가	2026년 07월	20,000
AI 시대의 재난 현장 (큰글자책)	이대호	커뮤니케이션북스	2026년 07월	25,000
AI와 사회정서학습	최철웅	커뮤니케이션북스	2026년 07월	12,000
인간지능 : AI의 협업과 소버린 AI	이헌구, 이동일	커뮤니케이션북스	2026년 07월	12,000
2026 챗GPT 업무 활용 마스터	강승우	삼일인포마인	2026년 07월	20,000
AI 에이전트로 만드는 멀티미디어 전자책	황원판	BOOKK(부크크)	2026년 06월	34,000
AI 시대, 방송콘텐츠 교육	박민서, 이승현	커뮤니케이션북스	2026년 07월	12,000
우분투 리눅스	이종원	한빛아카데미	2026년 06월	35,000
AI도 모르는 글쓰기: 초안을 완성으로 바꾸는 AI 협업 글쓰기	정나래	한빛미디어	2026년 06월	19,800
유아 놀이와 AI 교육	최수연	커뮤니케이션북스	2026년 06월	12,000
목회사역 AI 프롬프트 모음집	이희준	BOOKK(부크크)	2026년 06월	18,000
윈도우 포렌식 수사	이승무	(주)박영사	2026년 06월	42,000
디지털 혁신을 이끄는 정보화전략계획 (ISP)	이장영	좋은땅	2026년 06월	58,500
문구의 세계	문구 제조사 노우토,  타카기 요시노리, 고영자	영진닷컴	2026년 06월	18,000
챗GPT와 제미나이 그리고 AI 숏폼 동영상 제작과 활용법의 인공지능 입문 실무 업무 자동화 왕초보 입문 3종 패키지	액션미디어 편집부	액션미디어	2026년 06월	49,800
공간 컴퓨팅: XR 인터랙션 디자인	박동윤	에이콘출판사	2026년 06월	30,600
중소기업의 AI 활용 실무	배용일	BOOKK(부크크)	2026년 06월	24,000
비전공자를 위한 클라우드 컴퓨팅	백지석	BOOKK(부크크)	2026년 06월	21,000
디자이너를 위한 AI 디자인 크리에이티브 아트워크	정승용	제이펍	2026년 06월	22,500
스마트폰 완벽 가이드 (2026최신판)	최신만	디지털콘텐츠그룹	2026년 06월	18,000
지방의정 AI로 혁신하라	원성묵	새빛	2026년 06월	18,000
AX 에이전트 경영	황영오	미디어북	2026년 05월	24,000
AI와 기독교 교육	이성아	커뮤니케이션북스	2026년 06월	12,000
AI를 길들이는 법	장의웅	BOOKK(부크크)	2026년 06월	17,300
처음이지만 프로처럼 쓰는 n8n	곽지호(단테)	디지털북스	2026년 06월	29,700
스마트폰으로 배우는 챗GPT & 생성형 AI	안은진	아티오	2026년 06월	13,500
여보! 코딩은 바이브야!	김응	BOOKK(부크크)	2026년 06월	19,500
예제가 가득한 챗GPT with 클로드 길라잡이	이승우	정보문화사	2026년 06월	15,120
얄팍한 AI 지식 쌓기	김도균	ADK FIRST	2026년 05월	15,120
청소년을 위한 바로 써먹는 필수 AI 활용법	김환	알파에듀	2026년 06월	15,120
초보도 바로 되는 AI 콘텐츠	이도혜, 김인호, 문정수, 바울, 육화영, 정보 더 보기/감추기, 이도혜, 김인호, 문정수, 바울, 육화영, 이성열, 이수진, 이진영, 정지연, 노수승, 배경수, 김진선	미디어북	2026년 05월	20,000
디지털 금융 보안과 데이터 거버넌스	이기혁, 장항배	진한엠앤비	2026년 06월	23,750
실전 50개 프로젝트로 배우는 바이브 코딩	김선철, AI	BOOKK(부크크)	2026년 05월	26,600
스마트한 시니어를 위한 엑셀과 파워포인트 흑백판	차혜원	BOOKK(부크크)	2026년 05월	20,000
AI와 과학관	손성근, 김민환, 김상우	커뮤니케이션북스	2026년 05월	12,000
크리에이터 김연지의 돈 되는 AI 콘텐츠 설계	김연지	한빛비즈	2026년 05월	18,000
AI를 이기는 개발자 커리어 관리 가이드	강승현	제이펍	2026년 06월	21,600
AI로 나만의 3D 애니메이션 만들기	김희령	로드북	2026년 05월	24,300
비전공자를 위한 네트워크 기초	백지석	BOOKK(부크크)	2026년 05월	20,000
하나면 다 된다 제미나이	앤미디어	성안당	2026년 05월	20,700
데이터 분석 오답 노트	주정민, 허현	영진닷컴	2026년 05월	22,500
나는 왜 개발자 말이 어려울까?	이프로	경이로움	2026년 05월	19,800
매출을 만드는 데이터 분석 with 챗GPT	조선미	길벗	2026년 05월	28,800
AI, 글쓰기, 저작권	정지우	마름모	2026년 05월	10,800
코어 스테이블코인	박재현, 박지수	한빛미디어	2026년 05월	21,600
LangGraph로 만드는 AI 에이전트 서비스	전상우, 정영훈, 서평원, 이정훈, 이민혁	성안당	2026년 05월	26,100
AI디톡스	정강재	BOOKK(부크크)	2026년 04월	21,600
내 손안에 일상이 되는 ChatGPT&Gemini	김아진, 윤이음	예문랩	2026년 05월	13,500
그림으로 배우는 리눅스	카와노 고토부키, 김성훈	영진닷컴	2026년 05월	18,000
클린 아키텍처 with 파이썬	샘 킨, 송영숙	한빛미디어	2026년 04월	29,700
AI와 청소년 윤리 교육	고정아	커뮤니케이션북스	2026년 04월	12,000
Access(액세스) VBA 길잡이	김중광	다솜출판사	2024년 04월	26,100
STATA를 활용한 정책평가	우석진, 김도형	지필출판사(지필미디어)	2026년 04월	34,000
다시 찾는 디지털 서비스를 만드는 8가지 법칙	권혜민	제이펍	2026년 04월	18,000
피지컬 AI와 에이전틱 AI가 바꾸는 미래	권오형, 최재용, 김보성, 김은희, 김재연, 정보 더 보기/감추기, 권오형, 최재용, 김보성, 김은희, 김재연, 나병인, 유채린, 임기정, 차승희, 최소은, 김진선	미디어북	2026년 04월	20,000
바이브 코딩 항해일지	동준상	에이콘출판사	2026년 04월	25,200
7일 단기 완성 해킹 입문	노미조 노미조, 심중은	제이펍	2026년 04월	25,200
제미나이(Gemini) 재미나게 활용하기	강신진, 서완석, 오정택	BOOKK(부크크)	2026년 04월	18,300
AI시대, 스토리텔링의 재탄생	김태원	파람북	2026년 04월	17,100
코지마 히데오의 게임론	브라이언 히카리 하츠하임, 문성호	AK(에이케이 커뮤니케이션즈)	2026년 04월	20,710
그냥 따라하다 배우는, 나노바나나 100선	이재용	비엘북스	2026년 04월	19,800
혼자 해도 프로 선생님처럼 잘 만드는 학교 수업 자료 with 미리캔버스	김태훈, 손민지, 유수근	한빛미디어	2026년 04월	20,700
프롬프트 지옥에서 탈출하는 Claude Code 개발 자동화 시스템	박현일, 조용현	BOOKK(부크크)	2026년 03월	37,000
콘텐츠 디자인 with 나노 바나나	홍순성	한빛미디어	2026년 04월	25,200
입상 교사만 아는 아무도 말해주지 않은 디지털교육연구대회 1등급의 비밀	강인성	앤써북	2026년 04월	15,120
Play! SOLIDWORKS 솔리드웍스 2026 Master	원동현	청담북스	2026년 03월	33,250
투닝	김은지	문화출판더하다	2026년 03월	19,800
예제가 가득한 제미나이 길라잡이	이승우	정보문화사	2026년 04월	15,120
랭체인으로 구현하는 AI 서비스 & 에이전트 개발 입문	ML_Bear, 손민규, 장하렴	영진닷컴	2026년 04월	25,200
스프링 부트 4 개발자 되기 + AI : 자바 편	신선영	골든래빗	2026년 04월	30,600
모두를 위한 진짜 쎈 바이브 코딩 with 인스타그램 클론 코딩	전병우, 박윤철, 노마드코알라	리코멘드	2026년 04월	25,200
누구나 쉽게 배우는 영상 편집 with 캡컷 PC 버전	김수진	아티오	2026년 04월	12,600
맛있는 디자인 프리미어 프로 CC 2026	심수진, 윤성우	한빛미디어	2026년 04월	24,300
네이버 블로그 첫걸음	전진수	혜지원	2026년 03월	15,300
30가지 예제로 따라 하며 배우는 ComfyUI 클라우드	여승호, 신무경	제이펍	2026년 03월	19,800
된다! 제미나이, 클로드, 챗GPT AI 챗봇 만들기	이재윤, 정해준	이지스퍼블리싱	2026년 03월	18,900
인과 데이터 사이언스	이석민	법문사	2026년 02월	30,000
AI 시대의 IT 로컬라이제이션	정성희, 오오코시 히토미	커뮤니케이션북스	2026년 03월	12,000
30일 완성 제미나이 업무 혁명	AI싱크클럽(이재만)	루비페이퍼	2026년 04월	23,400
생성형 AI 시대 수학 교육	유주연, 정민주	커뮤니케이션북스	2026년 03월	12,000
GPT-5와 ChatGPT로 시작하는 멀티모달 AI 프로그래밍 실전 입문	후루카와 히데카즈, 최용	위키북스	2026년 03월	28,800
A2A × MCP 멀티에이전트 오케스트레이션 실전	서지영	길벗	2026년 03월	29,700
상업용 AI 음악제작	최이진	노하우(도서출판)	2026년 03월	29,700
피지컬 AI 컴퓨팅 모빌리티 기초동작 편	김석진, 박경민, 신승호, 김학진	골든벨	2026년 03월	28,500
가상 면접 사례로 배우는 생성형 AI 서비스 설계	알리 아미니안, 하오 성, 김지호, 조윤민	인사이트(insight)	2026년 03월	30,600
아두이노제어 with generative AI	장인갑	내하출판사	2026년 03월	20,000
안티그래비티 바이브 코딩 입문	박규하	로드북	2026년 03월	22,500
AI 워커스: 리디자인	김아람	스마트북스	2026년 03월	22,500
Security Guide 2026 (V.21) - 공격용 AI vs 방어용 AI		(주)화산미디어	2026년 02월	28,500
요즘 직장인을 위한 실무 보고서 작성 비법	김태영	시프트	2026년 03월	18,000
5분 제미나이	오종현	한빛미디어	2026년 02월	21,600
슬기로운 교사 생활 구글 클래스룸 수업 활용법	유수근	골든래빗	2026년 03월	24,120
C++로 배우는 자료구조 및 알고리즘	Frank M. Carrano, 송하윤	프로텍미디어	2026년 02월	44,000
가장 쉬운 AI 앱 빌더 DIfy 실무 가이드	오노 사토시, 두발타고	AK(에이케이 커뮤니케이션즈)	2026년 02월	40,850
문제 해결의 힘, 컴퓨팅 사고력	한옥영	성균관대학교출판부(SKKUP)	2026년 02월	25,000
세상을 복제하는 공장, Physical AI 데이터팩토리	손병희	꾸그티처스	2026년 02월	13,500
요즘 디자인을 위한 포토샵 & 일러스트레이터 (큰글자책)	서영열	시프트	2026년 02월	85,000
누구나 쉽게 따라 하는 디지털 & AI	이정화, 남호정, 최상국, 하나	디지털콘텐츠그룹	2026년 02월	16,200
인벤터 설계	홍성기, 강민정	성안당	2026년 02월	24,300
포지션으로 읽는 리그오브레전드	홍승표	가나북스	2026년 03월	21,600
내 코드가 불안한 개발자를 위한 좋은 코드의 기준	모리 아츠시, 안동현	프리렉	2026년 02월	22,500
엑셀로 시작하는 데이터 분석과 업무 자동화	김철	영진닷컴	2026년 02월	28,800
AI와 함께라서	최원설, 이재하, 고은비	지식터	2026년 01월	18,000
어르신들을 위한 스마트폰 기초교실	디지털콘텐츠그룹 편집부	디지털콘텐츠그룹	2026년 02월	14,400
나노바나나로 AI툰 제작하기	김한재	비엘북스	2026년 02월	28,800
인간중심 AI	권유빈	커뮤니케이션북스	2026년 02월	12,000
허깅페이스로 배우는 멀티모달 모델	이정인, 정우준	디지털북스	2026년 03월	19,800
마법 같은 영상 제작을 위한 스마트폰 촬영 및 편집 with 캡컷 (큰글자책)	김지희	시프트	2026년 02월	48,000
누구나 쉽게 AI 작사 & 작곡 with 생성형 인공지능, 챗GPT, 수노, 유디오 (큰글자책)	현병욱(오땡큐), 신수진	시프트	2026년 02월	39,000
프리미어 프로 + 애프터 이펙트 CC 2026 무작정 따라하기	전은재, 민지영, 문수민, 앤미디어	길벗	2026년 02월	24,300
기본기부터 다시 새기는 러스트 특강	욘 옝세, 장현희	인사이트(insight)	2026년 02월	29,700
팔란티어처럼 해체하고 연결하고 장악하라	정관영	골든래빗	2026년 02월	21,600
생성형AI 프롬프트 디자인	한국생성형AI연구원	광문각출판미디어	2026년 02월	30,000
아두이노 프로그래밍	강성묵, 정보권	생능출판사	2026년 01월	35,000
AI로 차트, 그래프, 인포그래픽 한 번에 끝내기	이현	천그루숲	2026년 01월	16,200
그림으로 배우는 가상화 구조	스즈키 켄지, 무네무라 타쿠미, 마루야마 카츠야스, 오우 쇼, 김성훈	영진닷컴	2026년 01월	15,300
우리, 프로그래머들 We, Programmers	로버트 C. 마틴, 최희철	길벗	2026년 01월	27,900
IT@CookBook, 유니티 입문	이종원, 신유철, 이승환	한빛아카데미	2026년 01월	33,000
출근길에 읽고 퇴근길에 완성하는 바이브 코딩	노승헌	더 타이즈	2026년 02월	19,800
AI 프로젝트 100% 성공을 위한 체크리스트 17	유진호	책만	2026년 01월	25,200
AI 디자인 활용백과	채시은	스마트북스	2026년 01월	22,500
심리상담과 AI의 융합 (큰글자책)	이혜숙	커뮤니케이션북스	2026년 01월	25,000
네이버 블로그 역제안 가이드	마케터C(김명경)	한빛미디어	2026년 02월	19,800
마인크래프트 블록 완벽 가이드	Mojang Studio, 강세중	영진닷컴	2026년 01월	22,500
MK에디션 CES 2026	매일경제 CES 특별취재팀	매일경제신문사	2026년 01월	18,000
디지털 게임 레벨 디자인 가이드	김익환	다윈의서재	2026년 01월	65,000
AI와 심리적 안정감	원미영	커뮤니케이션북스	2026년 01월	12,000
인공지능이 답할 때 교육은 무엇을 묻는가	함영기	에듀니티교육연구소(에듀니티)	2026년 01월	18,000
모던 API 아키텍처 설계 전략	제임스 고프, 대니얼 브라이언트, 매튜 어번, 장현희	책만	2026년 01월	28,800
포토샵 & 일러스트레이터 & 인디자인 CC 2026	김경미, 최리진	생능북스	2026년 01월	22,500
코틀린&스프링 부트로 개발은 처음인데요	정보근	더 타이즈	2026년 01월	29,700
코딩런 반려동물키우기  with 엔트리	놀이교육콘텐츠랩	마린북스	2025년 12월	13,500
포토샵+일러스트레이터 CC 2026 무작정 따라하기	문수민, 민지영, 앤미디어, 전은재	길벗	2026년 01월	23,400
현직교사가 만든 가장 쉬운 미리캔버스 수업 활용! MiriCanvas(미리캔버스)로 무엇이든 만들 수 있다	김동은, 김효민, 박채린, 이희정, 임준열	광문각출판미디어	2025년 12월	21,000
리더는 AI에게 질문하지 않는다	김희연	북피움	2026년 01월	20,700
이펙티브 타입스크립트 2판	댄 밴더캄, 장원호	인사이트(insight)	2025년 12월	31,500
요즘 바이브 코딩 v0 + 커서 입문 PRD 기획·개발·배포, 일주일 완성	김동학	골든래빗	2026년 01월	25,200
AI 잘 쓰는 디자이너	전하린	이지스퍼블리싱	2025년 12월	18,900
따라 하면서 완성하는 AWS 인프라 구축 입문	최진영(럭키바닐라 3세)	위키북스	2026년 01월	31,500
Dify, 코딩 없이 AI 앱 개발의 시작	멀티코어, 조준희, 강장묵, 이상한, 윤철희	프리렉	2025년 12월	22,500
일잘러의 무기가 되는 엑셀 대시보드	최준선	한빛미디어	2025년 12월	24,300
주얼리 디자인을 위한 미드저니(Midjourney) 가이드	김규승	청담북스	2025년 11월	23,750
AI 자율학습 밑바닥부터 배우는 AI 에이전트	다비드스튜디오	길벗	2025년 12월	21,600
피지컬 AI 컴퓨팅 센서편	김석진, 박경민, 신승호	골든벨	2026년 01월	31,350
AI와 언어학	이은송	커뮤니케이션북스	2025년 12월	12,000
키득키득반반한 코딩 어린이스크래치&엔트리with 인터넷+AI	놀이교육콘텐츠랩	마린북스	2025년 11월	12,600
AI와 패션 디자인 (큰글자책)	마진주, 정연이	커뮤니케이션북스	2025년 12월	25,000
키득키득 반반한 OA 파워포인트&한글 with 인터넷+AI	놀이교육콘텐츠랩	마린북스	2025년 11월	12,600
AI 법률문서 작성법 : 형사사건편	김종엽	박영사	2025년 12월	28,000
요즘 바이브 코딩 제미나이 CLI 완벽 가이드	김진환	골든래빗	2025년 12월	23,400
Do it! HTML+CSS 웹 표준의 정석	고경희	이지스퍼블리싱	2025년 11월	26,550
한 권으로 끝내는 올인원 피그마	오시내	제이펍	2025년 12월	31,500
현직교사가 만든 가장 쉬운 캔바 수업 활용! 캔바로 무엇이든 만들 수 있다	이서영, 유상숙, 양지현, 이상현	광문각출판미디어	2025년 11월	19,000
Prisma로 배우는 TypeScript 데이터베이스 프로그래밍 Prisma ORM 입문	이규호	콩콩 컴퍼니	2025년 10월	29,400
