순위,도서명,저자,출판사,출판일,가격,링크
151,AI 에이전트 실행 세계 1 : 원리편,조쉬,로드북,2026년 06월,"27,000",https://www.yes24.com/product/goods/191506324
152,생존을 위한 최소한의 AI 교양,조남호,골든래빗,2026년 06월,"22,500",https://www.yes24.com/product/goods/190419762
153,코딩 몰라도 시작하는 바이브 코딩,박인찬,혜지원,2026년 07월,"18,000",https://www.yes24.com/product/goods/193391571
154,교사의 시간 AI로 다시 쓰다,"황영준, 박성완, 양기송",에듀윌,2026년 07월,"12,600",https://www.yes24.com/product/goods/193184112
155,브랜드가 된 디자이너,노선선,시프트,2026년 07월,"18,900",https://www.yes24.com/product/goods/192666096
156,스토리 창작자를 위한 AI 활용 가이드,"야마카와 겐이치, 이마이 아키히코, 아시자와 가모메, 송경원",요다,2026년 06월,"16,200",https://www.yes24.com/product/goods/191855007
157,혼자 해도 프로 선생님처럼 잘 만드는 학교 수업 자료 with 제미나이,"김태훈, 손민지, 김한나",한빛미디어,2026년 06월,"19,800",https://www.yes24.com/product/goods/191321747
158,AI 대세전환 안티그래비티 × 바이브 코딩 압도적 업무 역량,"정용범, 손상우, 박성환",프리렉,2026년 05월,"27,000",https://www.yes24.com/product/goods/189445450
159,"누구나 코딩하는 시대, 1일 10분 바이브 코딩",김영욱,한빛미디어,2026년 04월,"19,800",https://www.yes24.com/product/goods/187954810
160,이게 되네? 오픈클로 미친 활용법 50제,한준구,골든래빗,2026년 05월,"21,600",https://www.yes24.com/product/goods/185166276
161,인스타그램 릴스 & 알고리즘 공략법 : 100만 조회수 만들기,서진원,이은북,2026년 04월,"16,020",https://www.yes24.com/product/goods/184570770
162,수업과 업무에 바로 적용하는 생성형 AI 활용 58제,임세범,앤써북,2026년 04월,"16,920",https://www.yes24.com/product/goods/184269953
163,바로바로 바이브 코딩 with 커서 AI,박현규,골든래빗,2026년 04월,"27,000",https://www.yes24.com/product/goods/183530330
164,옵시디언 프로페셔널 노트,구요한,리코멘드,2026년 03월,"22,500",https://www.yes24.com/product/goods/182134623
165,맛있는 디자인 피그마 with AI,이영주,한빛미디어,2026년 02월,"25,200",https://www.yes24.com/product/goods/179694520
166,된다! 피그마 디자인 10분 레시피,"하이서, 김대일, 김시원, 최유빈",이지스퍼블리싱,2026년 02월,"25,200",https://www.yes24.com/product/goods/176919464
